iter	RMSE
0	106558.7457
1	100875.5169
2	95847.67161
3	91620.17328
4	87867.87958
5	84687.29919
6	81633.18057
7	79255.65989
8	77030.0831
9	75115.04286
10	73440.49432
11	71990.27253
12	70741.13067
13	69707.63602
14	68659.87712
15	67655.67621
16	66777.12586
17	66133.25892
18	65547.28871
19	64871.85744
20	64369.72623
21	63850.45909
22	63358.62872
23	62933.78901
24	62519.28043
25	62141.07781
26	61707.81596
27	61395.38649
28	60977.74705
29	60642.82927
30	59985.29383
31	59684.17853
32	59453.11622
33	59027.25138
34	58760.18987
35	58347.1712
36	58038.8033
37	57829.36994
38	57522.13766
39	57335.8897
40	57087.98572
41	56922.37177
42	56563.62136
43	56363.66978
44	56156.23928
45	56008.03479
46	55793.51983
47	55617.16487
48	55460.93529
49	55334.64184
50	55136.06867
51	54954.26698
52	54778.18332
53	54518.39336
54	54206.82867
55	54088.21354
56	53855.58384
57	53724.08548
58	53606.61128
59	53504.03112
60	53400.24341
61	53301.49949
62	53235.7475
63	53115.12638
64	53015.89202
65	52897.6221
66	52808.39012
67	52666.18283
68	52605.41398
69	52481.4995
70	52420.45377
71	52211.21774
72	52162.38235
73	52075.69887
74	52006.36656
75	51934.41041
76	51781.32856
77	51687.74813
78	51511.41754
79	51455.58959
80	51389.40928
81	51316.29896
82	51206.59073
83	51052.88879
84	50982.56859
85	50917.00828
86	50838.67523
87	50716.61032
88	50621.12654
89	50494.72001
90	50397.81417
91	50310.98151
92	50250.35444
93	50177.29965
94	50094.93382
95	50048.78639
96	49916.10488
97	49859.40381
98	49795.11355
99	49721.2954
100	49646.51737
101	49562.06252
102	49469.61925
103	49410.01011
104	49350.43454
105	49303.35154
106	49187.89236
107	49107.78555
108	49016.12915
109	48920.056
110	48845.23594
111	48699.49967
112	48658.07019
113	48597.93151
114	48527.35635
115	48434.39982
116	48378.05374
117	48290.36317
118	48195.91877
119	48160.69445
120	48114.3829
121	48014.02658
122	47978.08467
123	47913.41551
124	47850.36716
125	47734.95199
126	47648.39741
127	47597.73152
128	47541.87612
129	47487.2369
130	47448.53815
131	47313.01026
132	47278.5836
133	47218.50526
134	47152.58465
135	47105.44523
136	47045.63265
137	46997.41332
138	46929.12632
139	46846.49059
140	46802.39164
141	46713.77443
142	46656.56164
143	46628.79063
144	46545.07746
145	46480.04504
146	46396.28357
147	46356.83887
148	46279.11073
149	46215.33845
150	46140.42608
151	46075.86646
152	46020.45816
153	45971.1556
154	45939.41039
155	45888.01049
156	45829.54311
157	45760.55483
158	45724.23983
159	45697.40562
160	45644.65694
161	45605.25005
162	45543.90737
163	45489.3368
164	45460.01195
165	45392.65421
166	45334.982
167	45304.72693
168	45237.40833
169	45176.30942
170	45118.92208
171	45068.20996
172	45025.78047
173	44998.30121
174	44950.7693
175	44889.56182
176	44826.37943
177	44787.33767
178	44749.04689
179	44704.73922
180	44665.07106
181	44619.81162
182	44581.48273
183	44550.05733
184	44505.4083
185	44465.94778
186	44427.79498
187	44385.86534
188	44349.78016
189	44304.2495
190	44245.7624
191	44208.76322
192	44176.78193
193	44125.0922
194	44097.37513
195	44053.28081
196	44025.09233
197	43967.88098
198	43934.38267
199	43906.37659
200	43877.1363
201	43835.64738
202	43802.98971
203	43778.33109
204	43746.09282
205	43716.60678
206	43687.75031
207	43654.15485
208	43607.81477
209	43563.59703
210	43517.05912
211	43488.40571
212	43460.06033
213	43425.43111
214	43385.74192
215	43343.21732
216	43310.82789
217	43285.78913
218	43262.04804
219	43231.36974
220	43188.05578
221	43150.69451
