iter	Passed	Remaining
0	11	11621
1	22	11236
2	31	10489
3	42	10470
4	53	10587
5	62	10432
6	75	10749
7	89	11063
8	101	11218
9	113	11279
10	128	11534
11	146	12029
12	167	12728
13	178	12572
14	191	12597
15	204	12594
16	212	12315
17	222	12162
18	232	11996
19	243	11921
20	253	11802
21	261	11642
22	273	11618
23	283	11546
24	292	11419
25	303	11356
26	313	11295
27	322	11212
28	333	11165
29	346	11202
30	354	11092
31	365	11054
32	373	10941
33	384	10918
34	392	10821
35	402	10776
36	412	10724
37	421	10668
38	431	10630
39	439	10558
40	449	10517
41	459	10487
42	469	10456
43	479	10424
44	488	10370
45	498	10335
46	506	10269
47	516	10240
48	527	10232
49	535	10166
50	545	10149
51	554	10101
52	564	10087
53	574	10065
54	583	10021
55	592	9984
56	601	9942
57	611	9923
58	619	9875
59	628	9854
60	638	9833
61	647	9794
62	656	9767
63	666	9749
64	680	9792
65	690	9769
66	698	9730
67	709	9717
68	717	9679
69	727	9661
70	738	9666
71	748	9646
72	759	9643
73	769	9624
74	777	9588
75	786	9567
76	795	9536
77	805	9525
78	814	9499
79	825	9489
80	835	9479
81	846	9478
82	857	9476
83	869	9481
84	878	9456
85	889	9450
86	900	9450
87	910	9431
88	921	9428
89	930	9406
90	940	9393
91	950	9379
92	959	9354
93	968	9333
94	976	9302
95	986	9291
96	995	9262
97	1004	9244
98	1014	9228
99	1023	9207
100	1034	9208
101	1043	9184
102	1056	9202
103	1069	9214
104	1082	9228
105	1093	9218
106	1107	9239
107	1119	9249
108	1133	9266
109	1146	9277
110	1162	9313
111	1172	9293
112	1184	9301
113	1199	9319
114	1209	9311
115	1220	9298
116	1232	9301
117	1247	9325
118	1260	9332
119	1269	9307
120	1280	9301
121	1292	9301
122	1300	9275
123	1311	9267
124	1321	9248
125	1333	9250
126	1344	9243
127	1353	9220
128	1364	9215
129	1377	9219
130	1386	9197
131	1397	9189
132	1407	9175
133	1417	9161
134	1428	9154
135	1439	9146
136	1448	9124
137	1459	9118
138	1470	9111
139	1480	9092
140	1490	9082
141	1499	9061
142	1509	9047
143	1518	9028
144	1527	9009
145	1538	8997
146	1549	8989
147	1560	8981
148	1570	8967
149	1578	8947
150	1588	8934
151	1598	8916
152	1608	8904
153	1618	8889
154	1626	8867
155	1637	8861
156	1646	8841
157	1658	8836
158	1668	8824
159	1676	8800
160	1687	8795
161	1698	8784
162	1711	8786
163	1724	8792
164	1736	8785
165	1745	8769
166	1758	8769
167	1769	8760
168	1777	8741
169	1787	8728
170	1797	8714
171	1805	8692
172	1815	8677
173	1823	8657
174	1834	8647
175	1843	8629
176	1852	8615
177	1862	8600
178	1870	8581
179	1881	8569
180	1890	8553
181	1900	8541
182	1910	8529
183	1919	8513
184	1929	8499
185	1938	8484
186	1950	8481
187	1960	8466
188	1968	8448
189	1979	8439
190	1988	8421
191	1997	8406
192	2007	8393
193	2016	8376
194	2025	8361
195	2033	8341
196	2043	8328
197	2053	8316
198	2063	8305
199	2074	8296
200	2081	8276
201	2093	8269
202	2101	8250
203	2111	8237
204	2121	8226
205	2129	8207
206	2138	8191
207	2147	8176
208	2157	8165
209	2166	8149
210	2178	8147
211	2194	8155
212	2207	8155
213	2215	8138
214	2229	8140
215	2242	8137
216	2250	8120
217	2259	8104
218	2268	8088
219	2276	8072
220	2287	8063
221	2296	8046
222	2305	8034
223	2314	8016
224	2323	8002
225	2334	7996
226	2344	7983
227	2354	7971
228	2363	7958
229	2372	7943
230	2383	7934
231	2391	7918
232	2401	7906
233	2412	7898
234	2421	7882
235	2430	7869
236	2439	7854
237	2449	7841
238	2456	7823
239	2467	7813
240	2478	7806
241	2487	7791
242	2497	7778
243	2505	7764
244	2515	7751
245	2523	7734
246	2533	7724
247	2543	7713
248	2553	7700
249	2562	7688
250	2571	7672
251	2580	7660
252	2588	7643
253	2599	7634
254	2609	7622
255	2617	7607
256	2628	7597
257	2637	7586
258	2647	7574
259	2656	7561
260	2666	7549
261	2675	7535
262	2683	7518
263	2692	7506
264	2701	7492
265	2711	7482
266	2721	7471
267	2729	7456
268	2742	7451
269	2757	7454
270	2765	7440
271	2775	7429
272	2784	7414
273	2793	7402
274	2802	7388
275	2811	7375
276	2821	7365
277	2831	7352
278	2840	7340
279	2848	7325
280	2859	7315
281	2868	7302
282	2878	7293
283	2889	7283
284	2897	7269
285	2907	7259
286	2917	7248
287	2926	7235
288	2939	7231
289	2948	7217
290	2958	7207
291	2968	7196
292	2976	7182
293	2986	7171
294	2994	7156
295	3004	7145
296	3012	7130
297	3022	7120
298	3031	7108
299	3040	7094
300	3051	7085
301	3059	7070
302	3069	7060
303	3077	7046
304	3088	7038
305	3098	7026
306	3106	7012
307	3117	7004
308	3125	6990
309	3138	6986
310	3149	6976
311	3158	6963
312	3168	6954
313	3178	6944
314	3186	6929
315	3196	6919
316	3205	6906
317	3216	6898
318	3228	6892
319	3239	6883
320	3250	6875
321	3262	6869
322	3273	6860
323	3282	6849
324	3293	6840
325	3302	6827
326	3312	6817
327	3320	6803
328	3331	6793
329	3339	6779
330	3348	6767
331	3358	6757
332	3366	6742
333	3376	6733
334	3385	6720
335	3395	6709
336	3403	6696
337	3413	6685
338	3424	6677
339	3433	6664
340	3443	6654
341	3451	6641
342	3461	6630
343	3470	6617
344	3478	6604
345	3488	6594
346	3497	6581
347	3508	6572
348	3516	6559
349	3528	6552
350	3538	6542
351	3546	6529
352	3556	6518
353	3564	6505
354	3574	6494
355	3583	6482
356	3592	6470
357	3602	6459
358	3611	6449
359	3622	6440
360	3634	6433
361	3644	6422
362	3654	6412
363	3664	6403
364	3674	6392
365	3686	6385
366	3696	6375
367	3707	6367
368	3717	6356
369	3727	6347
370	3738	6337
371	3748	6328
372	3757	6316
373	3770	6310
374	3781	6301
375	3789	6289
376	3799	6279
377	3808	6267
378	3819	6258
379	3831	6250
380	3841	6241
381	3852	6232
382	3872	6237
383	3884	6230
384	3900	6230
385	3913	6225
386	3930	6225
387	3940	6215
388	3951	6207
389	3961	6196
390	3969	6183
391	3979	6172
392	3988	6159
393	3997	6148
394	4006	6136
395	4026	6141
396	4052	6155
397	4070	6157
398	4084	6153
399	4101	6152
400	4112	6143
401	4125	6136
402	4135	6126
403	4147	6118
404	4158	6108
405	4173	6106
406	4182	6094
407	4194	6085
408	4204	6076
409	4215	6066
410	4227	6058
411	4237	6047
412	4247	6037
413	4259	6028
414	4269	6019
415	4286	6016
416	4298	6009
417	4309	6000
418	4321	5991
419	4337	5989
420	4352	5985
421	4363	5976
422	4374	5967
423	4385	5957
424	4397	5948
425	4409	5941
426	4421	5933
427	4433	5925
428	4443	5913
429	4455	5905
430	4468	5899
431	4483	5894
432	4494	5884
433	4507	5878
434	4519	5869
435	4531	5861
436	4541	5851
437	4554	5844
438	4566	5835
439	4577	5826
